Time,LOND_NEWY_in,LOND_NEWY_out,AMST_BOST_in,AMST_BOST_out,AOFA_LOND_in,AOFA_LOND_out,CERN-513_WASH_in,CERN-513_WASH_out
01/01/2018 08:00,1109242703,8683116412,3926407923,6210077100,29525708409,32127050406,957578154.6,7241650791
01/01/2018 09:00,1242255684,5181239326,2726693137,5627768177,23231049867,30542821342,1846840168,3695483905
01/01/2018 10:00,2006321817,12242859279,4623651812,6190881743,30538758725,27252911164,1947976077,5325143249
01/01/2018 11:00,1073180847,4717642252,2483064529,2286046380,25702147618,28311807743,2217494258,2194284219
01/01/2018 12:00,864506881,1987249399,1020563189,2556964010,24456493098,19851990236,1115394286,3096372928
01/01/2018 13:00,2095669115,2365350917,1950718187,4193035610,21935757803,20749556172,400866455.3,2435066124
01/01/2018 14:00,1322850060,1706671051,872758944.3,1456975416,19780200350,25183101144,1205670318,2431454469
01/01/2018 15:00,991734394,402269859.5,1182857345,2659308946,20559721946,21953709409,636704048.8,1762252012
01/01/2018 16:00,318333405.9,497139194.7,579154059.7,1785173743,27998873491,18997712774,590283749.9,6578175040
01/01/2018 17:00,1659557151,346383572.1,765260764.7,1905074412,18547176833,19452578657,1008237875,1222680856
01/01/2018 18:00,910713342.5,273087138,618375245.7,1267352878,16552652200,19273375493,680393371.3,4861187050
01/01/2018 19:00,2749361338,1191382334,1219030721,2727688488,17771563423,19027497803,1007894937,8452759701
01/01/2018 20:00,653328848.9,346213289.7,605929899.8,3423791917,15565547001,15633714267,543468330.5,2166877057
01/01/2018 21:00,1171920105,454841874.4,3307735449,4211502350,17546393093,14916691755,1212879431,5560818895
01/01/2018 22:00,1169594121,91937339.36,4236959302,2505320619,15248689254,16918707025,1494054203,3393172898
01/01/2018 23:00,2494177750,1073365692,4059106901,1245066203,16054936655,20327202161,1005594925,1017051228
01/02/2018 00:00,2479682876,15330378567,2515907480,12489236492,23771362248,21746297230,1516310574,5634500949
01/02/2018 01:00,1781156583,15943125909,4825111873,8046543771,30633524293,24412917440,2182540812,5718151216
01/02/2018 02:00,3569956609,18817055942,4741251877,2913140278,23897669905,29693469894,2827402180,1715937301
01/02/2018 03:00,6068239870,5652249642,5091516899,2031388304,28412026878,23121051754,937272079.7,1187013105
01/02/2018 04:00,4476428920,19281830149,4830907570,7689404016,27111352438,30487156249,2325248721,1770102722
